ID	Fc1_3h	Fc2_3h	Fc3_3h	Fc1_24h	Fc2_24h	Fc3_24h	Fh1_3h	Fh2_3h	Fh3_3h	Fh1_24h	Fh2_24h	Fh3_24h	Mc1_3h	Mc2_3h	Mc3_3h	Mc1_24h	Mc2_24h	Mc3_24h	Mh1_3h	Mh2_3h	Mh3_3h	Mh1_24h	Mh2_24h	Mh3_24h
OG0002159	11.88468949	11.5072793	11.93523505	11.62872804	11.70749718	11.70778187	10.89333187	10.79572718	10.79572718	11.21202818	11.11888918	11.06200565	11.60728407	11.60114539	11.8266184	11.60538414	11.63897298	11.52133199	11.10600931	11.00700203	11.0976075	11.14400748	10.91038714	10.71722058
OG0002825	11.85509817	11.48804095	11.74011383	11.93113639	11.94714743	12.04324265	10.85085879	10.82956419	10.82956419	11.0553909	11.1393403	11.03046023	8.808983475	8.767642551	9.087574221	8.967701218	8.82714832	8.747918376	8.736640049	8.381613895	8.497547302	8.934956956	8.592103795	8.416954981
OG0002819	11.84227569	11.59373658	11.82411546	11.68818036	12.17206179	12.29358373	10.9838558	10.96973186	10.96973186	11.48082049	11.57855667	11.52855178	11.22374472	11.21381385	11.55641888	10.94692235	11.10396506	11.20691728	10.81347739	10.56141684	10.75730166	10.87483231	10.70425556	10.45178395
OG0003154	11.80627975	11.38408759	11.78561594	11.80994896	11.75248937	11.8508627	10.56097283	10.65809988	10.65809988	11.05555359	10.90027814	10.94384076	11.87521333	11.872227	12.03993174	11.61452397	11.81745698	11.9271146	11.23926914	11.09533438	11.07402302	11.91512236	11.60970695	11.45228243
OG0002818	11.78635949	11.36009537	11.72182975	11.87524251	11.88462463	12.02392411	11.00824652	11.0136751	11.0136751	11.47364995	11.42720807	11.37838699	9.223382003	9.248862115	9.600472336	9.162140535	9.255366891	9.241241001	8.980442369	8.701790225	8.794197821	8.903381785	8.572580865	8.348244815
OG0003818	11.72416849	11.2683841	11.66589103	11.37340352	11.45489558	11.45195803	10.67420993	10.66610858	10.66610858	11.10885112	11.15218342	10.97698649	11.34172951	11.3022465	11.67158308	11.64776645	11.51704386	11.38768026	10.70327031	10.46311664	10.60719621	11.31608011	11.08986754	10.85773612
OG0001748	11.69695014	11.51364372	11.64122087	11.06968471	11.64565393	11.87829236	10.96464411	10.96053777	10.96053777	11.15782691	11.11729245	10.94534873	8.313172826	8.285804453	8.497614761	8.258673437	8.339834863	8.293140998	7.938518105	7.819072898	7.79521043	8.245910602	8.149337112	8.031281599
OG0000123	11.68417879	11.73442173	11.37845202	11.85385923	11.74133636	11.78987186	10.86241265	10.82724742	10.82724742	10.92382514	11.30738868	11.42003389	8.910659518	9.311476323	9.148337009	8.564079355	8.838410718	8.572177238	7.935668947	7.879529952	7.796869609	7.350874668	7.092501344	7.170059246
OG0005591	11.67967802	11.30223907	11.4254677	12.23104413	12.46438238	12.40082341	7.42768997	7.596748832	7.596748832	9.434398879	9.565311563	9.643459394	5.711104445	5.598546841	5.672864873	4.453684819	4.834890177	5.453639719	5.536793957	5.210466795	5.301335226	5.713227303	5.728820633	5.807154734
OG0002225	11.48491853	11.06563155	11.62266044	11.1025794	11.14535903	10.98800294	9.811165941	9.717924847	9.717924847	10.38651998	10.0137693	9.957696994	10.21492376	10.22223462	10.44829289	10.40832443	10.25346815	10.20542062	9.395620673	9.303451995	9.351653503	9.522064775	9.283014016	9.052590058
OG0009280	11.46870549	11.26717878	11.05309097	11.81463453	11.42451799	11.31561378	11.089424	11.20447027	11.20447027	11.09168661	10.94938902	11.22010016	11.71035186	11.62422018	11.83894862	11.01098888	11.01492571	10.8742921	9.894305455	9.944418661	9.922931173	9.489562202	9.324287451	9.200837317
OG0003372	11.45817076	11.15035658	11.48939642	10.46906177	10.98523713	10.80861029	9.987804033	9.91560306	9.91560306	10.48152701	10.23003245	10.19067658	8.74967672	8.641852699	9.06522062	9.057583488	8.868359892	8.852006955	8.531615392	8.269436697	8.40115045	8.420877735	8.130978732	7.914548379
OG0000432	11.42963688	11.27692697	11.08214904	11.91657368	11.65767126	11.5297136	11.90023285	11.6271417	11.6271417	12.0811139	11.93163874	12.1685405	3.222675059	3.34859928	3.484768447	4.954470396	5.260021138	5.019829546	6.981707692	7.091083067	6.969814733	8.840832358	8.80364068	8.625584656
OG0002466	11.40765017	11.30766759	11.35581357	11.07987141	11.11610999	11.00816247	10.50155857	10.45365132	10.45365132	10.80375981	10.6941315	10.68625539	10.94513141	11.05370057	11.30537323	9.88680359	10.43147567	10.91715573	10.33055056	9.973467779	10.04080341	9.511314245	9.656370873	9.600586253
OG0002397	11.38094801	11.19601805	11.36205888	11.28334885	11.36384455	11.46416793	10.60547026	10.52546698	10.52546698	10.71006596	10.78290814	10.64891478	8.668186863	8.755127263	8.992378139	9.269714861	9.094029903	8.815333017	8.062019146	7.89151883	7.915747947	7.540091607	7.233324397	7.24461786
OG0000468	11.36706523	11.33472022	11.33350759	11.09799917	11.02256894	11.14143024	11.46457638	11.4628192	11.4628192	10.65223551	11.20228915	11.08087081	10.67249341	11.04735911	10.54437912	9.820993759	9.772327772	9.521779244	9.839451041	9.873127854	9.49075563	8.142578856	7.481958422	7.449397948
OG0003128	11.3625466	10.92878483	11.25286645	11.19540912	10.99875965	10.95672463	10.15196787	10.17403933	10.17403933	10.46396365	10.23140121	10.1628067	10.83370209	10.83042726	11.08225617	11.1943592	11.0626776	10.90080493	10.05769124	9.954585727	9.985163113	10.24774717	9.756600687	9.611750943
OG0003054	11.35829955	11.59842011	12.58445287	10.49917819	10.66601091	10.89680162	9.746094384	9.664829464	9.664829464	10.95637616	10.5914569	10.50460053	11.25984858	11.29419397	11.54209792	11.5237511	11.37390699	11.36755235	10.60195738	10.42761874	10.5635519	11.0261015	10.68801421	10.4604088
