ko	gene
ko05111	CP3g3116
ko00333	CP11g7867
ko00061	CP11g7867
ko00333	CP9g7727
ko00061	CP9g7727
ko00333	CP14g9353
ko00061	CP14g9353
ko00333	CP7g7012
ko00061	CP7g7012
ko00061	CP6g5505
ko00780	CP2g1608
ko04138	CP3g3126
ko04071	CP3g3126
ko00600	CP3g3126
ko04138	CP11g7804
ko04071	CP11g7804
ko00600	CP11g7804
ko04138	CP14g9700
ko04071	CP14g9700
ko00600	CP14g9700
ko00564	CP7g7059
ko00561	CP7g7059
ko00650	CP11g8059
ko00620	CP11g8059
ko00640	CP11g8059
ko00310	CP3g3070
ko00380	CP3g3070
ko00020	CP3g3070
ko00310	CP16g10119
ko00380	CP16g10119
ko00020	CP16g10119
ko00061	CP3g3131
ko04910	CP3g3131
ko04152	CP3g3131
ko00061	CP1g1415
ko04910	CP1g1415
ko04152	CP1g1415
ko00061	CP1g1413
ko04910	CP1g1413
ko04152	CP1g1413
ko00061	CP11g8082
ko04910	CP11g8082
ko04152	CP11g8082
ko00061	CP3g3132
ko04910	CP3g3132
ko04152	CP3g3132
ko00061	CP16g9982
ko04910	CP16g9982
ko04152	CP16g9982
ko00061	CP5g5294
ko04910	CP5g5294
ko04152	CP5g5294
ko02026	CP4g3943
ko04931	CP4g3943
ko04922	CP4g3943
ko00500	CP4g3943
ko04910	CP4g3943
ko04217	CP4g3943
ko02026	CP4g3828
ko04931	CP4g3828
ko04922	CP4g3828
ko00500	CP4g3828
ko04910	CP4g3828
ko04217	CP4g3828
ko02026	CP3g3143
ko04931	CP3g3143
ko04922	CP3g3143
ko00500	CP3g3143
ko04910	CP3g3143
ko04217	CP3g3143
ko00500	CP1g619
ko00500	CP4g4004
ko00520	CP12g8838
ko00520	CP12g8871
ko00500	CP4g3594
ko00500	CP2g2572
ko00500	CP3g3483
ko02026	CP3g3483
ko00500	CP6g6092
ko02026	CP6g6092
ko00500	CP8g6660
ko02026	CP8g6660
ko00500	CP13g9046
ko02026	CP13g9046
ko00500	CP6g5821
ko00500	CP7g6725
ko00500	CP7g6853
ko04011	CP7g6853
ko00600	CP6g5515
ko00510	CP7g6913
ko00510	CP7g6907
ko00510	CP7g6906
ko00513	CP9g7497
ko00510	CP9g7497
ko00513	CP4g4044
ko00510	CP4g4044
ko00513	CP4g3672
ko00510	CP4g3672
ko00515	CP16g10001
ko00514	CP16g10001
ko00510	CP9g7480
ko00534	CP5g5079
ko00532	CP5g5079
ko00534	CP10g8265
ko00532	CP10g8265
ko00240	CP1g151
ko00983	CP1g151
ko00230	CP16g9990
ko00983	CP11g7899
ko00230	CP11g7899
ko00240	CP9g7470
ko00230	CP1g53
ko00250	CP1g53
ko00340	CP6g5468
ko00400	CP3g3255
ko00760	CP4g3658
ko00510	CP7g7055
ko00514	CP7g7055
ko03013	CP6g5919
ko03013	CP14g9497
ko03013	CP8g6400
ko03013	CP11g8086
ko03013	CP3g3216
ko03013	CP6g5918
ko05166	CP3g2968
ko00900	CP3g2968
ko05164	CP3g2968
ko00270	CP3g3200
ko00908	CP13g9310
ko00740	CP10g8357
ko00740	CP10g8439
ko00330	CP3g3389
ko00270	CP3g3389
ko00480	CP3g3389
ko00860	CP15g9835
ko00480	CP3g2828
ko00983	CP3g2828
ko00982	CP3g2828
ko01524	CP3g2828
ko04212	CP3g2828
ko00980	CP3g2828
ko05225	CP3g2828
ko05204	CP3g2828
ko05418	CP3g2828
ko05200	CP3g2828
ko00480	CP1g1515
ko00983	CP1g1515
ko00982	CP1g1515
ko01524	CP1g1515
ko04212	CP1g1515
ko00980	CP1g1515
ko05225	CP1g1515
ko05204	CP1g1515
ko05418	CP1g1515
ko05200	CP1g1515
